k,kernel,score
1,cosine,0.8478039969300937
2,cosine,0.8878676858239087
3,cosine,0.9022531415028608
4,cosine,0.9090141594241911
5,cosine,0.9123504890179923
6,cosine,0.9147965566575261
7,cosine,0.9172179147131343
8,cosine,0.918263130308422
9,cosine,0.918863370253647
10,cosine,0.9194382679272947
11,cosine,0.9194642629140455
12,cosine,0.9191343704091626
13,cosine,0.9194445610446464
14,cosine,0.9191812142772563
15,cosine,0.9187329249693702
16,cosine,0.918170020633315
17,cosine,0.9166541116644488
18,cosine,0.9141732559217902
19,cosine,0.9131049894360214
20,cosine,0.9115430324142451
21,cosine,0.9083770059689297
22,cosine,0.9064752270734505
23,cosine,0.9048984791602334
24,cosine,0.9032449186042439
25,cosine,0.8999432692339464
26,cosine,0.898616716389174
27,cosine,0.8955468990341219
28,cosine,0.8937407681840339
29,cosine,0.8913249249455122
30,cosine,0.8906424768362814
31,cosine,0.886714274839653
32,cosine,0.8847343982323937
33,cosine,0.8815947150142637
34,cosine,0.8805436889655767
35,cosine,0.8781970393004548
36,cosine,0.8762431586383161
37,cosine,0.8739892800566147
38,cosine,0.8712863755893714
39,cosine,0.8706838957309494
40,cosine,0.8692025146268232
41,cosine,0.8678394192239498
42,cosine,0.8666041652845922
43,cosine,0.8652341949442728
44,cosine,0.86316934722127
45,cosine,0.8601078015957847
46,cosine,0.8580845854083773
47,cosine,0.8569294884169618
48,cosine,0.8556808079665903
49,cosine,0.8540606082717885
50,cosine,0.8530742109871624
51,cosine,0.8520888533709434
52,cosine,0.8510369356894084
53,cosine,0.8503163275280219
54,cosine,0.8495600338085092
55,cosine,0.848255631225134
56,cosine,0.8470572597437802
57,cosine,0.8468724616582651
58,cosine,0.845724506248663
59,cosine,0.8445723040797068
60,cosine,0.8436912977660211
61,cosine,0.8434395487498054
62,cosine,0.8420808801120743
63,cosine,0.8409027791127777
64,cosine,0.8403328814830329
65,cosine,0.8399221060752724
66,cosine,0.839798079049148
67,cosine,0.8394239684895353
68,cosine,0.8386469220430655
69,cosine,0.8366321742443945
70,cosine,0.8359417518668445
71,cosine,0.8351529135509578
72,cosine,0.8348304192900476
73,cosine,0.8343185385779603
74,cosine,0.8339003714593579
75,cosine,0.8331190433999063
76,cosine,0.8325608891427742
77,cosine,0.8323121849706935
78,cosine,0.8320598956652008
79,cosine,0.8317768722952879
80,cosine,0.8315787565968077
81,cosine,0.8311213794259048
82,cosine,0.8301154059041218
83,cosine,0.8300052093211076
84,cosine,0.829679972731153
85,cosine,0.8291575831308606
86,cosine,0.8294055649816396
87,cosine,0.8289760420583148
88,cosine,0.8283389167048278
89,cosine,0.8284030805877338
90,cosine,0.828415910822985
91,cosine,0.828054348011278
92,cosine,0.8277924181015526
93,cosine,0.8274773412784852
94,cosine,0.8274035929491848
95,cosine,0.8271147275746453
96,cosine,0.8270145610401121
97,cosine,0.82645242434728
98,cosine,0.8261742370619028
99,cosine,0.8257694149384818
1,epanechnikov,0.8478039969300937
2,epanechnikov,0.8878676858239087
3,epanechnikov,0.9022522985697007
4,epanechnikov,0.9090133136201373
5,epanechnikov,0.9123474633348807
6,epanechnikov,0.9147858473892785
7,epanechnikov,0.9172068613556142
8,epanechnikov,0.9182505961942933
9,epanechnikov,0.9188162432037013
10,epanechnikov,0.9193851001854011
11,epanechnikov,0.9193684850199646
12,epanechnikov,0.9189966126345893
13,epanechnikov,0.9192841647102293
14,epanechnikov,0.919002977433631
15,epanechnikov,0.9185142100890621
16,epanechnikov,0.9179149580203699
17,epanechnikov,0.916370599382978
18,epanechnikov,0.9138156562664486
19,epanechnikov,0.9127059707151973
20,epanechnikov,0.9110573813826448
21,epanechnikov,0.907738577847116
22,epanechnikov,0.9057426963220451
23,epanechnikov,0.9041360371552485
24,epanechnikov,0.9023608404726147
25,epanechnikov,0.8988676145113672
26,epanechnikov,0.897435931805534
27,epanechnikov,0.8942141022986152
28,epanechnikov,0.8922877567435684
29,epanechnikov,0.8897194854822271
30,epanechnikov,0.8890528721090885
31,epanechnikov,0.8850096629228097
32,epanechnikov,0.8829687577114599
33,epanechnikov,0.8796256854323515
34,epanechnikov,0.8785366873948869
35,epanechnikov,0.8760356679278767
36,epanechnikov,0.8740249345419655
37,epanechnikov,0.8716395040379578
38,epanechnikov,0.8688714963689074
